"","simulation_id","model_id","simulation_scenario","dgm","validation_sample_size","dimension","n","j","weibull_shape","weibull_scale","landmark_times","landmark_time","prediction_window","statistic","value"
"1","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2",NA,1,"fit_time","0.00182919104894002"
"2","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"pred_time","1.62720680236816e-05"
"3","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"pred_time","1.45157178243001e-05"
"4","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"pred_time","1.27434730529785e-05"
"5","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier","0.0931023408852033"
"6","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index","0.591957631864183"
"7","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower","0.576592483503289"
"8","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_upper","0.607322780225076"
"9","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier","0.0858834823877723"
"10","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index","0.589381864613198"
"11","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower","0.572030837972844"
"12","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_upper","0.606732891253551"
"13","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier","0.0764573773013158"
"14","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index","0.603278793144834"
"15","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower","0.583451585709619"
"16","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_upper","0.623106000580049"
"17","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier_adjusted","0.00881427294607469"
"18","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_adjusted","-0.00406859782130309"
"19","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower_adjusted","-0.0348114715566109"
"20","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_higher_adjusted","0.026674275914006"
"21","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier_adjusted","-0.0129965326069664"
"22","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_adjusted","-0.00323177309397893"
"23","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower_adjusted","-0.050615240034479"
"24","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_higher_adjusted","0.044151693846522"
"25","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier_adjusted","0.0117335026972307"
"26","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_adjusted","0.016027801008803"
"27","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower_adjusted","-0.022147862483889"
"28","1","1",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_higher_adjusted","0.054203464501495"
"29","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2",NA,1,"fit_time","0.000354444980621338"
"30","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"pred_time","1.58508618672689e-05"
"31","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"pred_time","1.37964884440104e-05"
"32","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"pred_time","1.29342079162598e-05"
"33","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier","0.104145513863779"
"34","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index","0.596973331300273"
"35","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower","0.581677654824569"
"36","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_upper","0.612269007775977"
"37","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier","0.102199858065456"
"38","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index","0.592678312627659"
"39","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower","0.575235365508502"
"40","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_upper","0.610121259746817"
"41","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier","0.0907686143887861"
"42","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index","0.60627968964922"
"43","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower","0.586269318711445"
"44","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_upper","0.626290060586994"
"45","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier_adjusted","0.008983792039717"
"46","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_adjusted","-0.00616414049108194"
"47","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower_adjusted","-0.0373951447624931"
"48","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_higher_adjusted","0.025066863780329"
"49","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier_adjusted","-0.0156695512673079"
"50","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_adjusted","-0.010265255885743"
"51","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower_adjusted","-0.054420140150562"
"52","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_higher_adjusted","0.0338896283790751"
"53","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier_adjusted","0.0140905768472869"
"54","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_adjusted","-0.00455544516494799"
"55","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower_adjusted","-0.0430407609876401"
"56","1","2",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_higher_adjusted","0.033929870657745"
"57","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2",NA,1,"fit_time","0.00877126057942708"
"58","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"pred_time","0.00350143512090047"
"59","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"pred_time","0.00247080326080322"
"60","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"pred_time","0.00244512955347697"
"61","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier","0.110579016227567"
"62","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index","0.590589285353996"
"63","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower","0.575204730615904"
"64","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_upper","0.605973840092087"
"65","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier","0.0989508016607573"
"66","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index","0.58862429817896"
"67","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower","0.571300937362891"
"68","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_upper","0.60594765899503"
"69","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier","0.0858449197129594"
"70","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index","0.603062599525701"
"71","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower","0.583333257408475"
"72","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_upper","0.622791941642926"
"73","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier_adjusted","0.008828980678745"
"74","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_adjusted","-0.00907080383551406"
"75","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower_adjusted","-0.039625729647632"
"76","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_higher_adjusted","0.021484121976604"
"77","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier_adjusted","-0.0152251465061893"
"78","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_adjusted","-0.000140466574322984"
"79","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower_adjusted","-0.047849654756851"
"80","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_higher_adjusted","0.047568721608204"
"81","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier_adjusted","0.0126626757366156"
"82","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_adjusted","0.023289294671197"
"83","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower_adjusted","-0.015462082276734"
"84","1","3",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_higher_adjusted","0.0620406716191281"
"85","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2",NA,1,"fit_time","0.00429930289586385"
"86","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"pred_time","0.0026386022567749"
"87","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"pred_time","0.00245732069015503"
"88","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"pred_time","0.0028173565864563"
"89","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier","0.11057325185112"
"90","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index","0.590486171497445"
"91","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower","0.575118836140809"
"92","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_upper","0.60585350685408"
"93","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier","0.0989392115817558"
"94","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index","0.588579257803118"
"95","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower","0.571234099864585"
"96","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_upper","0.605924415741651"
"97","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier","0.0858340595460687"
"98","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index","0.60305309847942"
"99","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower","0.583319629643091"
"100","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_upper","0.62278656731575"
"101","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier_adjusted","0.00884927637079599"
"102","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_adjusted","-0.00926739027866397"
"103","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_lower_adjusted","-0.039988081120077"
"104","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"c_index_higher_adjusted","0.021453300562751"
"105","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"brier_adjusted","-0.0151949946180365"
"106","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_adjusted","-0.000751313934906017"
"107","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_lower_adjusted","-0.048072295269083"
"108","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"c_index_higher_adjusted","0.046569667399271"
"109","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"brier_adjusted","0.0126585096085378"
"110","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_adjusted","0.023561449447161"
"111","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_lower_adjusted","-0.014955491845704"
"112","1","4",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"c_index_higher_adjusted","0.062078390740024"
"113","1","5",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2",NA,1,"fit_time","0.00449302196502686"
"114","1","5",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"pred_time","0.00284985701243083"
"115","1","5",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","1",1,"pred_time","0.00265351931254069"
"116","1","5",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","2",1,"pred_time","0.00280125538508097"
"117","1","5",2,"tdcm",10000,3,1000,8,0.9,0.01265,"0, 1, 2","0",1,"brier","0.110566377148546"
